Name,Season,Avg_Fan_Rank,Impact_Type,Details
Jerry Rice,2,3.142857142857143,无影响,在两种规则下命运相同
Bobby Bones,27,3.4285714285714284,无影响,在两种规则下命运相同
Bristol Palin,11,4.222222222222222,原规则受益者,反事实规则致命 (Week [6])
Sean Spicer,28,2.6,无影响,在两种规则下命运相同
Bill Engvall,17,4.111111111111111,无影响,在两种规则下命运相同
Marie Osmond,5,5.444444444444445,无影响,在两种规则下命运相同
Sabrina Bryan,5,4.666666666666667,无影响,在两种规则下命运相同
Willow Shields,20,6.5,原规则受害者,反事实规则可救命 (Week [7])
Juan Pablo Di Pace,27,5.571428571428571,无影响,在两种规则下命运相同
Heather Morris,24,8.2,原规则受害者,反事实规则可救命 (Week [6])
