season,week,contestant,method,judges_score,is_eliminated,mean_fan_vote,ci_lower,ci_upper,ci_width
1,2,John O'Hurley,rank,26.0,False,0.11096913467914725,0.004563058138221874,0.27804047341262084,0.27347741527439895
1,2,Kelly Monaco,rank,17.0,False,0.2025172108262932,0.03535504728032182,0.47967207926459243,0.44431703198427064
1,2,Evander Holyfield,rank,14.0,False,0.20328581052247355,0.06598398312854369,0.518147923535349,0.4521639404068053
1,2,Rachel Hunter,rank,24.0,False,0.22716685426320768,0.032070215587386146,0.5182653705202566,0.4861951549328704
1,2,Joey McIntyre,rank,21.0,False,0.21210573115166537,0.03345714180198002,0.4821302969918264,0.4486731551898464
1,2,Trista Sutter,rank,19.0,True,0.043955258557213286,-0.000283447844249652,0.12914782337775313,0.1294312712220028
1,3,John O'Hurley,rank,24.0,False,0.32250270062200653,0.022259856887659014,0.7048679240105077,0.6826080671228487
1,3,Kelly Monaco,rank,21.0,False,0.29183073686651495,0.06880686683708791,0.6398843979657765,0.5710775311286885
1,3,Evander Holyfield,rank,13.0,True,0.0840244822869833,0.005895246851196073,0.2086433501842873,0.20274810333309123
1,3,Rachel Hunter,rank,26.0,False,0.17468021941553885,0.005580710088381574,0.4152827964272604,0.40970208633887883
1,3,Joey McIntyre,rank,22.0,False,0.12696186080895658,0.018061633816224602,0.3703973113240142,0.3523356775077896
1,4,John O'Hurley,rank,21.0,False,0.3185879596268248,0.051369121711112256,0.6736358236713685,0.6222667019602562
1,4,Kelly Monaco,rank,26.0,False,0.2293342913504891,0.06422392628662715,0.5389294791514339,0.4747055528648067
1,4,Rachel Hunter,rank,25.0,True,0.0804135590361341,0.007275246079793467,0.1933649814143735,0.18608973533458004
1,4,Joey McIntyre,rank,20.0,False,0.3716641899865529,0.1534183429704904,0.6624426747932469,0.5090243318227565
1,5,John O'Hurley,rank,27.0,False,0.21175432773788871,0.023448290517659086,0.3969236930843248,0.3734754025666657
1,5,Kelly Monaco,rank,23.5,False,0.597063924517354,0.3776170527630127,0.8730013094884698,0.49538425672545705
1,5,Joey McIntyre,rank,22.5,False,0.19118174774475777,0.024865836852683492,0.4127938344436699,0.3879279975909864
1,6,John O'Hurley,rank,27.0,False,0.24131424680982055,0.022420237894678254,0.4828074768380425,0.46038723894336425
1,6,Kelly Monaco,rank,27.5,False,0.7586857531901778,0.5171925231619579,0.9775797621053213,0.4603872389433634
2,1,Tatum O'Neal,rank,23.0,False,0.09786100644724338,0.0057930283900561215,0.2570491737016962,0.2512561453116401
2,1,Tia Carrere,rank,20.0,False,0.08702262846717397,0.0060507969378178275,0.24278285280630033,0.2367320558684825
2,1,George Hamilton,rank,18.0,False,0.11492250819913884,0.028223604925982748,0.3154184380463399,0.28719483312035715
2,1,Lisa Rinna,rank,19.0,False,0.178862601650032,0.022539307799302456,0.4736025571267728,0.45106324932747033
2,1,Stacy Keibler,rank,22.0,False,0.11085114582960444,-0.004015966254351862,0.3669365465343028,0.37095251278865465
2,1,Jerry Rice,rank,21.0,False,0.08183763098932915,0.0045052024146620085,0.19140077767750233,0.1868955752628403
2,1,Giselle Fernandez,rank,23.0,False,0.1352472408532511,0.011753123061787961,0.335251691370227,0.32349856830843904
2,1,Master P,rank,12.0,False,0.10050942864841267,0.01776073187371728,0.25704270710913396,0.23928197523541667
2,1,Drew Lachey,rank,24.0,False,0.06508150535519111,0.0007572759460083359,0.19178526757263994,0.19102799162663162
2,1,Kenny Mayne,rank,13.0,True,0.02780430356062594,-0.016429816448389256,0.08118407686637805,0.0976138933147673
2,2,Tatum O'Neal,rank,17.0,True,0.028669146976516027,-0.019243850367080005,0.07534649127469335,0.09459034164177335
2,2,Tia Carrere,rank,22.0,False,0.1679401190683845,0.01399299888508752,0.4320306420295217,0.41803764314443415
2,2,George Hamilton,rank,22.0,False,0.14886360255236397,0.020597213831996627,0.3353836095083029,0.3147863956763063
2,2,Lisa Rinna,rank,20.0,False,0.10953283662746073,0.026877845365587252,0.25563869264406647,0.22876084727847923
2,2,Stacy Keibler,rank,29.0,False,0.10522082060588107,0.005317620109674237,0.3154760806410833,0.31015846053140905
2,2,Jerry Rice,rank,23.0,False,0.13215508601106926,0.005542852242968764,0.2976527565562451,0.2921099043132764
2,2,Giselle Fernandez,rank,24.0,False,0.10085861084490529,0.002600920320416783,0.2567672633310124,0.2541663430105956
2,2,Master P,rank,16.0,False,0.12506674665859413,0.021894435961299932,0.2683944019467761,0.2464999659854762
2,2,Drew Lachey,rank,27.0,False,0.08169303065482499,0.001929523622214966,0.2557872889000585,0.2538577652778435
2,3,Tia Carrere,rank,26.0,False,0.10856762532297783,0.006784708318935137,0.24736447874665912,0.240579770427724
2,3,George Hamilton,rank,22.0,False,0.12384875505146281,0.02726821557856218,0.24688869849320327,0.2196204829146411
2,3,Lisa Rinna,rank,25.0,False,0.19954882383501166,0.03403568041452581,0.38974512622644264,0.3557094458119168
2,3,Stacy Keibler,rank,27.0,False,0.11673047642268398,0.004765484192089803,0.2581746333285307,0.25340914913644086
2,3,Jerry Rice,rank,19.0,False,0.12400397581947742,0.029162748387835637,0.3396543359562693,0.3104915875684337
2,3,Giselle Fernandez,rank,22.0,True,0.03823510724423398,-0.004731218643015223,0.08217306856576244,0.08690428720877766
2,3,Master P,rank,14.0,False,0.19464813096788683,0.07524108750803657,0.40646275706115254,0.33122166955311594
2,3,Drew Lachey,rank,27.0,False,0.09441710533626664,0.00395623843090688,0.26621614334925225,0.2622599049183454
2,4,Tia Carrere,rank,25.0,False,0.1223282850370248,0.011667322485658571,0.2787990560015292,0.26713173351587066
2,4,George Hamilton,rank,21.0,False,0.12065136164227608,0.027592593803403828,0.2891177162289598,0.261525122425556
2,4,Lisa Rinna,rank,26.0,False,0.09942402217578718,0.0009449971253531036,0.2668948419964871,0.265949844871134
2,4,Stacy Keibler,rank,26.0,False,0.1614233088947967,0.00788304307305238,0.6282171265732323,0.6203340835001798
2,4,Jerry Rice,rank,24.0,False,0.34724577520595806,0.05096423970208776,0.7382886893031163,0.6873244496010286
2,4,Master P,rank,8.0,True,0.04984827500412875,0.003049596637804547,0.12760594800267813,0.12455635136487359
2,4,Drew Lachey,rank,28.0,False,0.09907897204002862,0.006888013556953933,0.2535461177589675,0.2466581042020136
2,5,Tia Carrere,rank,22.0,True,0.07057738139110359,0.0028128493048710443,0.16161828702811826,0.1588054377232472
2,5,George Hamilton,rank,24.0,False,0.2550110276576936,0.04888738437552975,0.46213369043480684,0.4132463060592771
2,5,Lisa Rinna,rank,25.0,False,0.13566673211761737,0.01298504102102514,0.32741077618741615,0.314425735166391
2,5,Stacy Keibler,rank,30.0,False,0.17032055402689467,0.005655430368480291,0.4469424027228271,0.4412869723543468
2,5,Jerry Rice,rank,23.0,False,0.18552336452920765,0.040961293376062996,0.5164968005814637,0.4755355072054007
2,5,Drew Lachey,rank,27.0,False,0.1829009402774831,0.011489144120015678,0.4186713727473209,0.40718222862730524
2,6,George Hamilton,rank,23.0,True,0.11489242771853775,0.01238207014017969,0.2447266017220024,0.2323445315818227
2,6,Lisa Rinna,rank,27.0,False,0.24249506686212768,0.03316160338045455,0.5141381239094193,0.4809765205289647
2,6,Stacy Keibler,rank,30.0,False,0.13654799118508518,0.00981251581461753,0.3896666617614135,0.379854145946796
2,6,Jerry Rice,rank,23.0,False,0.38214606389977307,0.05122070483679077,0.7625181743175853,0.7112974694807945
2,6,Drew Lachey,rank,30.0,False,0.12391845033447856,0.013261735733734967,0.2947694240999983,0.28150768836626333
2,7,Lisa Rinna,rank,26.5,True,0.0752551481811007,0.008707678454969827,0.17080226474366159,0.16209458628869175
2,7,Stacy Keibler,rank,27.5,False,0.38505071241688665,0.10286301127816166,0.6985547855806616,0.5956917743025
2,7,Jerry Rice,rank,20.5,False,0.27917883959017453,0.06825927154685407,0.4664978939890607,0.39823862244220665
2,7,Drew Lachey,rank,27.5,False,0.26051529981183674,0.05904274513623417,0.4630056229564625,0.4039628778202283
2,8,Stacy Keibler,rank,28.6665,False,0.10592942504222368,0.005456265360516979,0.26546254154947185,0.2600062761889549
2,8,Jerry Rice,rank,26.666600000000003,False,0.2906160724317094,0.05582740714316727,0.5650835132328443,0.5092561060896771
2,8,Drew Lachey,rank,28.9998,False,0.6034545025260657,0.2617254989555886,0.9165948390452524,0.6548693400896638
3,1,Harry Hamlin,percentage,17.0,False,0.08052243190388098,0.012830428765418199,0.19988513364840033,0.18705470488298212
3,1,Vivica A. Fox,percentage,22.0,False,0.1055430613851835,0.0028668523996526613,0.29402534787532736,0.2911584954756747
3,1,Monique Coleman,percentage,19.0,False,0.16223959832102816,0.01868386681802989,0.3471604097151369,0.328476542897107
3,1,Joey Lawrence,percentage,21.0,False,0.07605748901761915,0.004457751761747009,0.20063627577117452,0.1961785240094275
3,1,Mario Lopez,percentage,26.0,False,0.07979934712482221,0.002444662762032841,0.20202173759453446,0.19957707483250162
3,1,Emmitt Smith,percentage,24.0,False,0.08018219248976605,0.00227986678164966,0.20609225357113464,0.203812386789485
3,1,Shanna Moakler,percentage,18.0,False,0.08194867271811056,0.00031024947021635556,0.30512884370764426,0.3048185942374279
3,1,Willa Ford,percentage,22.0,False,0.11869402770808372,0.012249622532776082,0.31170408701613955,0.2994544644833635
3,1,Sara Evans,percentage,15.0,False,0.11355178185834842,0.011266269549478722,0.36459264613838377,0.35332637658890503
3,1,Jerry Springer,percentage,16.0,False,0.08077449293699722,0.005604252496475423,0.2062125704306048,0.2006083179341294
3,1,Tucker Carlson,percentage,12.0,True,0.020686904536160757,-0.04204903597968111,0.05983302233544607,0.10188205831512719
3,2,Harry Hamlin,percentage,21.0,False,0.10512080024395193,0.020736177018225495,0.34160803712380244,0.32087186010557694
3,2,Vivica A. Fox,percentage,24.0,False,0.13784102489734665,0.02923361121118304,0.36234772771067564,0.3331141164994926
3,2,Monique Coleman,percentage,26.0,False,0.0804680589029973,0.006468698657878231,0.22913487635593752,0.2226661776980593
3,2,Joey Lawrence,percentage,29.0,False,0.055273661538291934,0.0012748566014758184,0.15406438340875933,0.15278952680728353
3,2,Mario Lopez,percentage,21.0,False,0.12984518033546807,0.018467923311539555,0.3229340183823462,0.30446609507080663
