Season,Week,Contestant,Is_Controversial,Actual_Method,Counter_Method,Judges_Score,Judge_Rank,Inferred_Fan_Vote,Fan_Vote_Rank,Result_Actual,Result_Counter,Outcome_Changed,Bias_Actual_Kill_FanLoser,Bias_Counter_Kill_FanLoser
1,2,John O'Hurley,False,rank,percentage,26.0,1,0.20691638608347446,3,Safe,Safe,False,False,False
1,2,Kelly Monaco,False,rank,percentage,17.0,5,0.14284016704912797,4,Safe,Safe,False,False,False
1,2,Evander Holyfield,False,rank,percentage,14.0,6,0.2395818377293753,2,Safe,Safe,False,False,False
1,2,Rachel Hunter,False,rank,percentage,24.0,2,0.24637393733150684,1,Safe,Safe,False,False,False
1,2,Joey McIntyre,False,rank,percentage,21.0,3,0.1250328823226247,5,Safe,Safe,False,False,False
1,2,Trista Sutter,False,rank,percentage,19.0,4,0.039254789483891134,6,Eliminated,Eliminated,False,False,False
1,3,John O'Hurley,False,rank,percentage,24.0,2,0.22936352414796565,3,Safe,Safe,False,False,False
1,3,Kelly Monaco,False,rank,percentage,21.0,4,0.29640284156567015,1,Safe,Safe,False,False,False
1,3,Evander Holyfield,False,rank,percentage,13.0,5,0.08760913117838577,5,Eliminated,Eliminated,False,False,False
1,3,Rachel Hunter,False,rank,percentage,26.0,1,0.10247122014645313,4,Safe,Safe,False,False,False
1,3,Joey McIntyre,False,rank,percentage,22.0,3,0.2841532829615235,2,Safe,Safe,False,False,False
1,4,John O'Hurley,False,rank,percentage,21.0,3,0.26313197005763506,3,Safe,Safe,False,False,False
1,4,Kelly Monaco,False,rank,percentage,26.0,1,0.33438338541567975,1,Safe,Safe,False,False,False
1,4,Rachel Hunter,False,rank,percentage,25.0,2,0.12652102168569626,4,Eliminated,Eliminated,False,False,False
1,4,Joey McIntyre,False,rank,percentage,20.0,4,0.27596362284098813,2,Safe,Safe,False,False,False
2,1,Tatum O'Neal,False,rank,percentage,23.0,3,0.06476862710407122,8,Safe,Safe,False,False,False
2,1,Tia Carrere,False,rank,percentage,20.0,6,0.16387542024993834,2,Safe,Safe,False,False,False
2,1,George Hamilton,False,rank,percentage,18.0,8,0.18399005391080744,1,Safe,Safe,False,False,False
2,1,Lisa Rinna,False,rank,percentage,19.0,7,0.11018498912485815,3,Safe,Safe,False,False,False
2,1,Stacy Keibler,False,rank,percentage,22.0,4,0.08032273952557391,7,Safe,Safe,False,False,False
2,1,Jerry Rice,True,rank,percentage,21.0,5,0.10144360120224366,5,Safe,Safe,False,False,False
2,1,Giselle Fernandez,False,rank,percentage,23.0,3,0.05189650546886711,9,Safe,Safe,False,False,False
